"species"	"order"	"family"	"biomes_salve"	"cerrado_sp"	"limbs"	"reproduction"	"biomes_gard"	"habitat"	"activity"	"cerrado_endemic"	"phylogeny"	"suborder"	"genus"	"year"
"Acratosaura mentalis"	"Squamata"	"Gymnophthalmidae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"4 well developed limbs"	"oviparous"	"Deserts & Xeric Shrublands"	"Forest/Savanna"	"Diurnal"	"no"	"yes"	"Sauria"	"Acratosaura"	1933
"Acratosaura spinosa"	"Squamata"	"Gymnophthalmidae"	"Caatinga"	"no"	"4 well developed limbs"	"oviparous"	"Deserts & Xeric Shrublands"	"Savanna"	NA	"no"	"yes"	"Sauria"	"Acratosaura"	2009
"Adelphostigma occipitalis"	"Squamata"	"Dipsadidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Adelphostigma"	1863
"Adelphostigma quadriocellata"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"no"	"Serpentes"	"Adelphostigma"	2008
"Alexandresaurus camacan"	"Squamata"	"Gymnophthalmidae"	"Mata Atlântica"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Sauria"	"Alexandresaurus"	2007
"Alopoglossus amazonius"	"Squamata"	"Alopoglossidae"	"Amazônia"	"no"	"4 well developed limbs"	NA	NA	NA	NA	"no"	"no"	"Sauria"	"Alopoglossus"	1924
"Alopoglossus angulatus"	"Squamata"	"Alopoglossidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Wetlands"	"Diurnal"	"no"	"yes"	"Sauria"	"Alopoglossus"	1758
"Alopoglossus atriventris"	"Squamata"	"Alopoglossidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Alopoglossus"	1973
"Alopoglossus avilapiresae"	"Squamata"	"Alopoglossidae"	"Amazônia"	"no"	"4 well developed limbs"	NA	NA	NA	NA	"no"	"no"	"Sauria"	"Alopoglossus"	2020
"Alopoglossus brevifrontalis"	"Squamata"	"Alopoglossidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	NA	"Diurnal"	"no"	"yes"	"Sauria"	"Alopoglossus"	1912
"Alopoglossus buckleyi"	"Squamata"	"Alopoglossidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Alopoglossus"	1881
"Alopoglossus collii"	"Squamata"	"Alopoglossidae"	"Amazônia"	"yes"	"4 well developed limbs"	NA	NA	NA	NA	"yes"	"no"	"Sauria"	"Alopoglossus"	2020
"Alopoglossus meloi"	"Squamata"	"Alopoglossidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"no"	"Sauria"	"Alopoglossus"	2018
"Alopoglossus theodorusi"	"Squamata"	"Alopoglossidae"	"Amazônia"	"no"	"4 well developed limbs"	NA	NA	NA	NA	"no"	"no"	"Sauria"	"Alopoglossus"	2020
"Amapasaurus tetradactylus"	"Squamata"	"Gymnophthalmidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Amapasaurus"	1970
"Ameiva ameiva"	"Squamata"	"Teiidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna/Shrubland"	"Diurnal"	"no"	"yes"	"Sauria"	"Ameiva"	1758
"Ameiva jacuba"	"Squamata"	"Teiidae"	"Cerrado"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Grassland/Savanna"	NA	"yes"	"yes"	"Sauria"	"Ameiva"	2013
"Ameiva parecis"	"Squamata"	"Teiidae"	"Amazônia, Cerrado"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Grassland"	"Diurnal"	"yes"	"yes"	"Sauria"	"Ameiva"	2003
"Ameivula cipoensis"	"Squamata"	"Teiidae"	"Cerrado"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	NA	"Diurnal"	"yes"	"no"	"Sauria"	"Ameivula"	2014
"Ameivula confusioniba"	"Squamata"	"Teiidae"	"Caatinga, Cerrado"	"yes"	"4 well developed limbs"	"oviparous"	"Deserts & Xeric Shrublands"	"Grassland/Savanna"	"Diurnal"	"no"	"no"	"Sauria"	"Ameivula"	2011
"Ameivula jalapensis"	"Squamata"	"Teiidae"	"Cerrado"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna/Shrubland"	"Diurnal"	"yes"	"no"	"Sauria"	"Ameivula"	2009
"Ameivula mumbuca"	"Squamata"	"Teiidae"	"Cerrado"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	"Diurnal"	"yes"	"yes"	"Sauria"	"Ameivula"	2003
"Ameivula nativo"	"Squamata"	"Teiidae"	"Mata Atlântica"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Shrubland"	NA	"no"	"no"	"Sauria"	"Ameivula"	1997
"Ameivula nigrigula"	"Squamata"	"Teiidae"	"Caatinga, Cerrado"	"yes"	"4 well developed limbs"	"oviparous"	"Deserts & Xeric Shrublands"	"Grassland"	"Diurnal"	"no"	"no"	"Sauria"	"Ameivula"	2011
"Ameivula ocellifera"	"Squamata"	"Teiidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Savanna"	"Diurnal"	"no"	"yes"	"Sauria"	"Ameivula"	1825
"Ameivula pyrrhogularis"	"Squamata"	"Teiidae"	"Caatinga"	"no"	"4 well developed limbs"	"oviparous"	"Deserts & Xeric Shrublands"	"Savanna"	"Diurnal"	"no"	"no"	"Sauria"	"Ameivula"	2013
"Ameivula xacriaba"	"Squamata"	"Teiidae"	"Cerrado"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	NA	NA	"yes"	"no"	"Sauria"	"Ameivula"	2014
"Amerotyphlops amoipira"	"Squamata"	"Typhlopidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Deserts & Xeric Shrublands"	"Forest"	"Nocturnal"	"no"	"no"	"Serpentes"	"Amerotyphlops"	2002
"Amerotyphlops arenensis"	"Squamata"	"Typhlopidae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Deserts & Xeric Shrublands"	"Desert/Rocky"	"Nocturnal"	"no"	"no"	"Serpentes"	"Amerotyphlops"	2015
"Amerotyphlops brongersmianus"	"Squamata"	"Typhlopidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal, Sistema Costeiro-Marinho"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Amerotyphlops"	1976
